"","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","newgtdb_Genus"
"40336","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","1-19"
"40338","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Apirhabdus"
"40339","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Atlantibacter"
"40346","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","B14"
"40347","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","BIGb0383"
"40349","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Brenneria"
"40362","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Budvicia"
"40364","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Buttiauxella"
"40378","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","CALYQQ01"
"40379","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","CAMIKG01"
"40380","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","CANJWD01"
"40381","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Cedecea"
"40389","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Citrobacter"
"40390","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacter"
"40406","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacter_B"
"40408","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacter_D"
"40413","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Entomohabitans"
"40414","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwinia"
"40450","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwinia_C"
"40452","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Erwinia_D"
"40453","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Escherichia"
"40464","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Ewingella"
"40471","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Franconibacter"
"40473","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Frischella"
"40475","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Fukatsuia"
"40477","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","GCA-022846635"
"40478","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Gibbsiella"
"40479","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Gilliamella"
"40517","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hafnia"
"40521","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Hamiltonella"
"40523","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Intestinirhabdus"
"40524","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Izhakiella"
"40528","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","JAATFO01"
"40529","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","JAISKF01"
"40530","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","JGM124"
"40534","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Jejubacter"
"40536","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Klebsiella"
"40562","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Kluyvera"
"40575","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Kosakonia"
"40594","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Leclercia"
"40604","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Leclercia_A"
"40605","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Lelliottia"
"40614","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Leminorella"
"40616","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Limnobaculum"
"40621","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Lonsdalea"
"40627","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Mangrovibacter"
"40630","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Mixta"
"40639","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Moellerella"
"40641","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganella"
"40649","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Musicola"
"40650","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Orbus"
"40655","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pantoea"
"40721","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Paramixta"
"40722","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pectobacterium"
"40749","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Phaseolibacter"
"40750","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Photorhabdus"
"40766","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Phytobacter"
"40772","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Plesiomonas"
"40774","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pluralibacter"
"40776","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pragia"
"40777","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Prodigiosinella"
"40778","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Proteus"
"40799","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Providencia"
"40822","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pseudenterobacter"
"40823","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pseudescherichia"
"40832","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Pseudocitrobacter"
"40837","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","RHBSTW-00994"
"40838","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Rahnella"
"40854","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Regiella"
"40855","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Rosenbergiella"
"40862","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Rouxiella"
"40870","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Salmonella"
"40875","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Samsonia"
"40876","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Scandinavium"
"40889","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Schmidhempelia"
"40891","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Serratia"
"40922","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Serratia_B"
"40924","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Serratia_F"
"40926","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Serratia_G"
"40927","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Shimwellia"
"40929","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Siccibacter"
"40931","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Silvania"
"40933","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Superficieibacter"
"40938","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Symbiodolus"
"40940","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Symbiopectobacterium"
"40945","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Tatumella"
"40951","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Tenebrionibacter"
"40955","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Thorsellia"
"40956","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Trabulsiella"
"40960","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Winslowiella"
"40964","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Xenorhabdus"
"40999","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yersinia"
"41026","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Yokenella"
"41027","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Zophobihabitans"
"41033","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Dryocola"
"41053","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Citrobacter_A"
"41061","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Citrobacter_B"
"41062","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Citrobacter_C"
"41063","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Citrobacter_D"
"41066","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Chania"
"41067","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Chimaeribacter"
"41074","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Cronobacter"
"41090","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Edwardsiella"
"41094","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Duffyella"
"41101","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Dickeya"
"41124","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Edaphovirga"
"41133","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Dasytiphilus"
"41138","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacillus"
"41152","Enterobacteriaceae","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","DKMV01"
"41156","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Acerihabitans"
"41165","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Annandia"
"41167","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Arsenophonus"
"41183","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Baumannia"
"41187","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Biostraticola"
"41188","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Blochmanniella"
"41204","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera"
"41240","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_A"
"41243","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_B"
"41254","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_C"
"41259","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_D"
"41263","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_E"
"41265","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_F"
"41281","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_G"
"41287","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_H"
"41288","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_I"
"41291","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_J"
"41302","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_K"
"41304","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_L"
"41315","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Buchnera_M"
"41317","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","CAXKXX01"
"41318","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","CWE"
"41319","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Doolittlea"
"41320","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Ecksteinia"
"41322","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Erwinia_E"
"41331","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","FFU"
"41332","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","G030849185"
"41336","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","G031446085"
"41337","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","G036327475"
"41338","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","G964059955"
"41339","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","GBBU"
"41340","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","GCA-001602625"
"41341","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","GCA-012562765"
"41365","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","GCF-000287335"
"41366","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","GCF-000287355"
"41367","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","GCF-900161835"
"41368","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Gillettellia"
"41369","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Gullanella"
"41370","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Hartigia"
"41371","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Hoaglandella"
"41372","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Ishikawella"
"41373","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","JAHCVB01"
"41374","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Lightella"
"41381","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Mikella"
"41383","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Moranella"
"41384","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Nardonella"
"41388","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","PRUG"
"41389","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Pantoea_A"
"41390","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Pantoea_C"
"41395","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Profftia"
"41398","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Providencia_A"
"41400","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Purcelliella"
"41402","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Riesia"
"41404","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","SZZU01"
"41405","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","SZZW01"
"41406","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Schneideria"
"41407","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Serratia_D"
"41408","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Serratia_E"
"41409","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Serratia_H"
"41410","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","SoCistrobi"
"41411","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Sodalis"
"41412","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Sodalis_A"
"41413","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Sodalis_B"
"41414","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Sodalis_C"
"41415","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Stammera"
"41460","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Steffania"
"41461","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Tachikawaea"
"41462","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Tremblaya"
"41464","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","VOQV01"
"41465","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Westeberhardia"
"41468","Enterobacteriaceae_A","FALSE","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales_A","Wigglesworthia"
"41471","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_D"
"41473","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus"
"41474","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_A"
"41475","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Tetragenococcus"
"41476","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_E"
"41477","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","HY326"
"41478","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_C"
"41483","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_B"
"41493","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Melissococcus"
"41525","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_F"
"41534","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_J"
"41538","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","JALCOL01"
"41564","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_G"
"41568","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_I"
"41590","Enterococcaceae","FALSE","Bacteria","Bacillota","Bacilli","Lactobacillales","Enterococcus_H"
"41592","Entotheonellaceae","FALSE","Bacteria","Tectomicrobia","Entotheonellia","Entotheonellales","BPKO01"
"41593","Entotheonellaceae","FALSE","Bacteria","Tectomicrobia","Entotheonellia","Entotheonellales","Entotheonella"
"41595","Entotheonellaceae","FALSE","Bacteria","Tectomicrobia","Entotheonellia","Entotheonellales","G958295825"
"41597","Entotheonellaceae","FALSE","Bacteria","Tectomicrobia","Entotheonellia","Entotheonellales","SXND01"
"41598","Epilineaceae","FALSE","Bacteria","Chloroflexota","Anaerolineae","Epilineales","Avedoeria"
"41601","Epilineaceae","FALSE","Bacteria","Chloroflexota","Anaerolineae","Epilineales","DAOUCP01"
"41602","Epilineaceae","FALSE","Bacteria","Chloroflexota","Anaerolineae","Epilineales","Epilinea"
"41603","Epilineaceae","FALSE","Bacteria","Chloroflexota","Anaerolineae","Epilineales","JACKBJ01"
"41604","Epilineaceae","FALSE","Bacteria","Chloroflexota","Anaerolineae","Epilineales","JAJCYU01"
"41605","Epilineaceae","FALSE","Bacteria","Chloroflexota","Anaerolineae","Epilineales","JBCLES01"
"41606","Epilineaceae","FALSE","Bacteria","Chloroflexota","Anaerolineae","Epilineales","UCB3"
"41607","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","CADDZI01"
"41608","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","JABCYQ01"
"41612","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","JAFAHD01"
"41616","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","JAFANK01"
"41619","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","JAJPHJ01"
"41621","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","JALYZS01"
"41623","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","JANWLL01"
"41626","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","Mawsoniella"
"41628","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","DATNNM01"
"41629","Eremiobacteraceae","FALSE","Bacteria","Vulcanimicrobiota","Vulcanimicrobiia","Eremiobacterales","Eremiobacter"
"41631","Erginobacteraceae","FALSE","Bacteria","PUNC01","Erginobacteria","Erginobacterales","CAKZYZ01"
"41632","Erginobacteraceae","FALSE","Bacteria","PUNC01","Erginobacteria","Erginobacterales","Erginobacter"
"41635","Erginobacteraceae","FALSE","Bacteria","PUNC01","Erginobacteria","Erginobacterales","Euphemobacter"
"41637","Erysipelotrichaceae","TRUE","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Breznakia"
"41638","Erysipelotrichaceae","TRUE","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Absicoccus"
"41639","Erysipelotrichaceae","TRUE","Bacteria","Bacillota","Bacilli","Erysipelotrichales","Anaerorhabdus"
"41640","Erysipelotrichaceae","TRUE","Bacteria","Bacillota","Bacilli","Erysipelotrichales","UBA1783"
