"","gtdb_f","f_spor","newgtdb_Domain","newgtdb_Phylum","newgtdb_Class","newgtdb_Order","newgtdb_Genus"
"67","1-14-0-10-40-38","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JBGPMO01"
"68","1-14-0-10-40-38","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","SIBX01"
"69","1-14-0-10-41-12","FALSE","Bacteria","Patescibacteriota","UBA1384","UBA1384","1-14-0-10-41-12"
"70","1-14-0-10-42-12","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA9973","1-14-0-10-42-12"
"72","1-14-0-10-42-19","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","1-14-0-10-42-19","1-14-0-10-42-19"
"73","1-14-0-10-42-19","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","1-14-0-10-42-19","1-14-0-10-46-36"
"76","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","1-14-0-10-43-13"
"78","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","DAOOSE01"
"79","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","ELA241"
"80","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JAKJEK01"
"81","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JAMCZZ01"
"82","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JAPLVL01"
"83","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JBAWZC01"
"84","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JBAXQZ01"
"85","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JBAYHC01"
"86","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JBAYVE01"
"87","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JBAZBD01"
"88","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JBBQQK01"
"89","1-14-0-10-43-13","FALSE","Bacteria","Patescibacteriota","UBA1384","XYA2-FULL-43-10","JBBTQI01"
"90","1-14-0-10-44-23","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","1-14-0-10-44-23"
"91","1-14-0-10-44-23","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","1-14-0-10-49-15"
"92","1-14-0-10-44-23","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAHFLF01"
"94","1-14-0-10-44-23","FALSE","Bacteria","Patescibacteriota","Minisyncoccia","UBA6257","JAUYME01"
"96","1-14-0-10-45-34","FALSE","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","1-14-0-10-45-34"
"97","1-14-0-20-47-16","FALSE","Bacteria","UBA10199","UBA10199","GCA-002796325","1-14-0-20-47-16"
"98","1-14-0-20-49-13","FALSE","Bacteria","UBA10199","UBA10199","GCA-002796325","1-14-0-20-49-13"
"99","1-14-0-20-49-13","FALSE","Bacteria","UBA10199","UBA10199","GCA-002796325","CAIPVD01"
"100","1-14-0-20-49-13","FALSE","Bacteria","UBA10199","UBA10199","GCA-002796325","JACPAJ01"
"101","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","1-14-0-20-64-10"
"102","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","CAMTXI01"
"103","1-14-0-20-64-10","FALSE","Bacteria","Omnitrophota","Koll11","1-14-0-20-64-10","JACOVG01"
